"country","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million","BBIBP-CorV","Oxford/AstraZeneca","Pfizer/BioNTech","Sinovac","Sputnik V","Sinopharm/Beijing","Johnson&Johnson","Moderna","Covaxin","CanSino","Sinopharm/Wuhan","Abdala","Soberana02","QazVac","Sinopharm/HayatVax","EpiVacCorona","RBD-Dimer","Region","Surface area (km2)","Population in thousands (2017)","Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)","GDP: Gross domestic product (million current US$)","GDP growth rate (annual %, const. 2005 prices)","GDP per capita (current US$)","Economy: Agriculture (% of GVA)","Economy: Industry (% of GVA)","Economy: Services and other activity (% of GVA)","Employment: Agriculture (% of employed)","Employment: Industry (% of employed)","Employment: Services (% of employed)","Unemployment (% of labour force)","Agricultural production index (2004-2006=100)","Food production index (2004-2006=100)","International trade: Exports (million US$)","International trade: Imports (million US$)","International trade: Balance (million US$)","Balance of payments, current account (million US$)","Population growth rate (average annual %)","Urban population (% of total population)","Urban population growth rate (average annual %)","Fertility rate, total (live births per woman)","Refugees and others of concern to UNHCR (in thousands)","Infant mortality rate (per 1000 live births","Health: Total expenditure (% of GDP)","Education: Government expenditure (% of GDP)","Seats held by women in national parliaments %","Mobile-cellular subscriptions (per 100 inhabitants)","Individuals using the Internet (per 100 inhabitants)","Threatened species (number)","CO2 emission estimates (million tons/tons per capita)","Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)"
"Afghanistan",765890,582128,183762,12986,1.97,1.5,0.47,334,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"SouthernAsia",652864,35530,54.4,106.3,20270,-2.4,623.2,23.3,23.3,53.3,61.6,10,28.5,8.6,125,125,1458,3568,-2110,-5121,3.2,26.7,4,5.3,1513.1,68.6,8.2,3.3,27.7,8.3,42,2.1,63,5,21.43
"Albania",901429,525800,375629,7571,31.32,18.27,13.05,2631,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,"SouthernEurope",28748,2930,106.9,101.9,11541,2.6,3984.2,22.4,26,51.7,41.4,18.3,40.3,15.8,134,134,1962,4669,-2707,-1222,-0.1,57.4,2.2,1.7,8.8,14.6,5.9,3.5,22.9,63.3,130,28.2,84,36,2.96
"Algeria",2500000,2500000,,22664,5.7,5.7,,517,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,"NorthernAfrica",2381741,41318,17.3,102,164779,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,11.4,160,161,29992,47091,-17099,-27229,2,70.7,2.8,3,99.8,27.7,7.2,"...",31.6,38.2,135,0.8,5900,55,0.05
"Andorra",63265,38667,24598,1737,81.88,50.04,31.84,22481,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"SouthernEurope",468,77,163.8,102.3,2812,0.8,39896.4,0.5,10.8,88.6,-99,-99,-99,-99,-99,-99,100,1355,-1255,-99,-1.6,85.1,0.1,1.2,-99,-99,8.1,3.3,32.1,96.9,13,34,1,119,-99
"Angola",1380174,866381,513793,14642,4.2,2.64,1.56,446,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"MiddleAfrica",1246700,29784,23.9,96.2,117955,3,4714.1,6.8,51.2,42,4.2,37.6,58.2,6.6,175,176,21011,8790,12221,-10273,3.5,44.1,5,6,45.7,65.4,3.3,"...",38.2,12.4,146,46.5,3902,25,0.42
"Anguilla",15198,9183,6015,37,101.31,61.21,40.09,2466,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",91,15,165.7,97.6,320,2.9,21879.6,2.3,15.7,82,"...","...","...","...",-99,-99,2,154,-153,-48,1.2,100,1.2,"...","~0.0",-99,-99,"...",-99,76,52,61.1,0,136,-99
"Antigua and Barbuda",62809,35768,27041,542,64.14,36.52,27.61,5535,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",442,102,231.8,92.3,1356,4.1,14764.5,1.9,18.3,79.8,"...","...","...","...",88,88,61,491,-429,-204,1.1,23.8,-0.9,2.1,"~0.0",9.1,5.5,"...",11.1,65.2,55,22.3,-99,84,0.12
"Argentina",18646784,14886910,3759874,252881,41.26,32.94,8.32,5595,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,"SouthAmerica",2780400,44271,16.2,95.9,632343,2.4,14564.5,6,27.8,66.2,2,24.8,73.1,6.5,119,119,57733,55610,2124,-15944,1,91.8,1,2.3,5,13.7,4.8,5.3,38.9,69.4,256,10,3167,85,0.01
"Armenia",55557,,,1132,1.87,,,382,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAsia",29743,2930,102.9,88.8,10529,3,3489.1,19,28.3,52.8,35,15.7,49.3,16.6,135,135,1776,3230,-1455,-279,0.3,62.7,-0.1,1.6,19.3,13.2,4.5,2.8,9.9,58.2,114,11.7,48,46,3.17
"Aruba",124856,67126,57730,311,116.94,62.87,54.07,2913,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Caribbean",180,105,584.8,90.4,2702,0.1,26005.4,0.5,15.4,84.1,0.6,14,85.1,"...",-99,-99,95,1117,-1022,96,0.5,41.5,-0.3,1.8,"~0.0",14.8,-99,6.2,-99,88.7,32,2.3,1,120,-99
"Australia",6860276,5754768,1105508,110994,26.9,22.57,4.34,4353,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"Oceania",7692060,24451,3.2,99.3,1230859,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,111,111,189630,189406,224,-57746,1.5,89.4,1.5,1.9,58.2,3.9,9.4,5.2,28.7,84.6,948,16.2,15282,222,-99
"Austria",7125249,4553906,2667772,80446,79.11,50.56,29.62,8932,false,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,"WesternEurope",83871,8736,106,96.2,376967,1,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,108,108,145503,149299,-3795,7020,0.6,66,0.4,1.4,166.4,3.3,11.2,5.5,30.6,83.9,118,46.9,505,158,-99
"Azerbaijan",3080340,1997612,1082728,34431,30.38,19.7,10.68,3396,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,"WesternAsia",86600,9828,118.9,99.3,53049,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,5.2,131,136,9143,8532,611,-222,1.3,54.6,1.6,2.1,623.3,31.4,6,2.6,16.8,77,97,13.5,2459,61,0.14
