"short_name","preferred_foot","age","height_cm","pace","shooting","passing","dribbling","defending","weight_kg","wage_eur","team_jersey_number","league_name"
"L. Messi","Left",33,170.2713177443842,85,92,91,95,38,71.52341005759607,560000,10,"Spain Primera Division"
"Cristiano Ronaldo","Right",35,187.27129555026642,89,93,81,89,35,82.86764867537529,220000,7,"Italian Serie A"
"J. Oblak","Right",27,187.501050663721,,,,,,86.52277533503064,125000,13,"Spain Primera Division"
"R. Lewandowski","Right",31,183.56960071076372,78,91,78,85,43,80.13759669253389,240000,9,"German 1. Bundesliga"
"Neymar Jr","Right",28,174.67570729464146,91,85,86,94,36,67.78960499441271,270000,10,"French Ligue 1"
"K. De Bruyne","Right",29,181.45321769400934,76,86,93,88,64,69.5655449251104,370000,17,"English Premier League"
"K. Mbappé","Right",21,178.1911294852256,96,86,78,91,39,72.67308360915413,160000,7,"French Ligue 1"
"M. ter Stegen","Right",28,186.82136151888352,,,,,,85.085932483875,260000,1,"Spain Primera Division"
"V. van Dijk","Right",28,193.39819194484994,76,60,71,71,91,92.24722573876048,210000,4,"English Premier League"
"Alisson","Right",27,191.44883807388197,,,,,,91.43140979291249,160000,1,"English Premier League"
"S. Mané","Right",28,174.97171990775223,94,85,80,90,44,68.74754269883263,250000,10,"English Premier League"
"M. Salah","Left",28,175.46168526340162,93,86,81,90,45,71.04596188788804,250000,11,"English Premier League"
"T. Courtois","Left",28,198.65356544900902,,,,,,95.73292631991605,250000,1,"Spain Primera Division"
"S. Agüero","Right",32,173.3590763542406,78,90,77,88,33,70.48253907067325,300000,10,"English Premier League"
"Sergio Ramos","Right",34,183.73757614042933,71,70,76,73,88,81.92684849075879,300000,4,"Spain Primera Division"
"K. Benzema","Right",32,185.12959563020786,74,85,81,86,40,80.74773775926411,350000,9,"Spain Primera Division"
"M. Neuer","Right",34,192.64442988985596,,,,,,92.42185353507463,125000,1,"German 1. Bundesliga"
"Casemiro","Right",28,185.2514425587599,65,73,76,72,86,84.04198475234361,310000,14,"Spain Primera Division"
"Ederson","Left",26,188.0945161370675,,,,,,85.59994185487533,195000,31,"English Premier League"
"R. Sterling","Right",25,169.79452059173863,93,81,79,90,45,69.02683863983604,270000,7,"English Premier League"
"J. Kimmich","Right",25,175.56360851132845,71,72,86,84,81,73.41898971695062,145000,6,"German 1. Bundesliga"
"H. Kane","Right",26,188.0829527891298,68,91,80,80,47,89.33343168122056,220000,10,"English Premier League"
"P. Dybala","Left",26,176.7550768857677,85,85,84,92,43,75.23347844920144,190000,10,"Italian Serie A"
"S. Handanovič","Right",35,192.70339021766378,,,,,,92.41497688271912,100000,1,"Italian Serie A"
"T. Kroos","Right",30,182.68155574068177,54,81,91,81,71,75.51427969704346,310000,8,"Spain Primera Division"
"E. Hazard","Right",29,175.08164307159885,88,82,83,92,35,73.88857709813027,350000,7,"Spain Primera Division"
"K. Koulibaly","Right",29,187.33961369164138,75,28,55,68,89,88.89923081720646,140000,26,"Italian Serie A"
"N. Kanté","Right",29,168.4278489785589,77,66,76,81,86,70.13948037102959,190000,7,"English Premier League"
"J. Sancho","Right",20,180.35223371726286,83,74,81,91,37,75.87764741163618,82000,7,"German 1. Bundesliga"
"T. Alexander-Arnold","Right",21,179.5806442117959,80,66,87,80,80,69.49844006568867,110000,66,"English Premier League"
"Bruno Fernandes","Right",25,179.35035910434968,77,83,88,85,68,69.18989021643267,195000,18,"English Premier League"
"A. Laporte","Left",26,189.28587861359645,63,50,72,68,88,85.15639410248468,200000,14,"English Premier League"
"Fabinho","Right",26,188.3105805733433,67,69,79,77,85,78.17151544074858,155000,3,"English Premier League"
"A. Robertson","Left",26,177.94944621221748,82,62,80,80,81,64.20285945154401,155000,26,"English Premier League"
"Bernardo Silva","Left",25,172.9034133738133,81,77,83,92,51,63.778635451563424,230000,20,"English Premier League"
"G. Chiellini","Left",35,187.37729093456537,66,46,58,60,90,84.83942877554746,94000,3,"Italian Serie A"
"H. Lloris","Left",33,188.05158093351722,,,,,,81.86021930347418,125000,1,"English Premier League"
"L. Suárez","Right",33,182.24315290862444,70,90,82,83,51,86.13721051866078,280000,9,"Spain Primera Division"
"L. Modrić","Right",34,171.52893461029308,73,76,89,88,71,66.48230640552404,260000,10,"Spain Primera Division"
"A. Di María","Left",32,180.2174724693106,83,81,85,88,48,69.3095901625152,160000,11,"French Ligue 1"
"W. Szczęsny","Right",30,194.75143792885328,,,,,,89.8836138160763,105000,1,"Italian Serie A"
"P. Aubameyang","Right",31,187.28975879041366,93,86,75,80,38,79.50288327440924,170000,14,"English Premier League"
"Sergio Busquets","Right",31,188.79893976733433,42,62,80,80,83,76.33452792167394,240000,5,"Spain Primera Division"
"C. Immobile","Right",30,185.4465891623243,84,88,67,83,39,84.64926421724891,125000,17,"Italian Serie A"
"K. Navas","Right",33,185.21193985740751,,,,,,80.27873627430486,110000,1,"French Ligue 1"
"A. Griezmann","Left",29,176.30543312391472,79,85,84,88,57,72.84258405810407,290000,7,"Spain Primera Division"
"H. Son","Right",27,183.16192116632132,88,86,80,87,43,77.59593509431477,165000,7,"English Premier League"
"Roberto Firmino","Right",28,180.5873517578592,77,80,81,90,61,76.36374924508925,190000,9,"English Premier League"
"R. Varane","Right",27,190.6988748282512,82,49,64,64,87,80.96767492234018,220000,5,"Spain Primera Division"
"P. Pogba","Right",27,190.54431191740306,73,81,86,85,66,83.5881498355617,190000,6,"English Premier League"
"M. Verratti","Right",27,164.81893662196876,64,60,85,90,79,59.65845005942746,135000,6,"French Ligue 1"
"A. Gómez","Right",32,167.01445317013523,90,79,84,88,39,68.15604162813008,100000,10,"Italian Serie A"
"Piqué","Right",33,193.7290448094206,57,61,71,67,86,85.2525984486473,220000,3,"Spain Primera Division"
"David Silva","Left",34,172.69817504691855,64,74,88,88,52,67.17325024227382,58000,21,"Spain Primera Division"
"Y. Sommer","Right",31,182.70734628101732,,,,,,79.12056851739793,55000,1,"German 1. Bundesliga"
"M. Hummels","Right",31,191.40721884554316,58,58,77,72,89,94.13993893060587,93000,15,"German 1. Bundesliga"
"J. Henderson","Right",30,182.46998676086764,65,74,84,79,81,80.16089653349384,140000,14,"English Premier League"
"Jordi Alba","Left",31,170.32332259586272,88,69,81,83,78,68.33546551227649,220000,18,"Spain Primera Division"
"T. Müller","Right",30,186.36441443601157,68,82,82,78,56,74.66880048979843,130000,25,"German 1. Bundesliga"
"De Gea","Right",29,191.61597990048972,,,,,,82.07278593077419,150000,1,"English Premier League"
"Carvajal","Right",28,173.0151815474682,80,54,78,80,82,73.03103477819425,230000,2,"Spain Primera Division"
"J. Vardy","Right",33,179.17897589959156,88,85,66,78,55,73.86073003500856,160000,9,"English Premier League"
"K. Havertz","Left",21,188.03738557932215,84,81,79,85,45,83.3788078079,105000,29,"English Premier League"
"G. Donnarumma","Right",21,195.96272732276506,,,,,,90.26248542486921,34000,99,"Italian Serie A"
"M. de Ligt","Right",20,189.348102023989,72,59,66,69,85,88.63326051467875,80000,4,"Italian Serie A"
"M. Rashford","Right",22,185.85063858458923,91,83,78,86,45,69.59928815192848,150000,10,"English Premier League"
"L. Sané","Left",24,183.4978379904568,93,81,79,86,38,74.67175934364904,100000,10,"German 1. Bundesliga"
"F. de Jong","Right",23,180.0727788536677,80,64,84,87,76,73.72775358105646,190000,21,"Spain Primera Division"
"Marquinhos","Right",26,183.1128798965552,72,41,73,70,87,75.06842508501654,115000,5,"French Ligue 1"
"C. Lenglet","Left",25,185.54996848184106,74,45,67,65,87,80.89447784130383,190000,15,"Spain Primera Division"
"S. Milinković-Savić","Right",25,191.45712287593227,69,79,80,83,79,75.82870111142978,94000,21,"Italian Serie A"
"M. Škriniar","Right",25,188.1465055964126,69,41,59,66,87,80.42204929780509,130000,37,"Italian Serie A"
"M. Depay","Right",26,176.32236809798016,86,83,81,84,32,78.30676507205843,115000,11,"French Ligue 1"
"T. Werner","Right",24,179.99237601552662,91,85,69,84,35,75.80879354455318,135000,11,"English Premier League"
"Rodri","Right",24,191.27043413567753,65,68,77,77,82,81.92140768554081,145000,16,"English Premier League"
"B. Leno","Right",28,189.647587244898,,,,,,82.05371520105376,105000,1,"English Premier League"
"S. Gnabry","Right",24,174.86126982628133,82,83,78,86,43,74.56377312631126,100000,7,"German 1. Bundesliga"
"Ricardo Pereira","Right",26,175.15472435005978,83,66,79,82,81,69.8526360902641,120000,21,"English Premier League"
"R. Lukaku","Left",27,190.69676373131594,81,83,76,75,38,94.3820623801287,165000,9,"Italian Serie A"
"Luis Alberto","Right",27,183.01411429795073,74,76,86,85,58,74.35712918324641,99000,10,"Italian Serie A"
"M. Icardi","Right",27,180.6100490413886,73,85,65,78,36,75.37191260999899,135000,9,"French Ligue 1"
"H. Ziyech","Left",27,180.5627065687812,80,76,87,84,50,65.4151446993904,140000,22,"English Premier League"
"Thiago Silva","Right",35,182.80524441061317,59,54,72,71,86,78.64181524523292,93000,6,"English Premier League"
"D. Mertens","Right",33,169.0462871648837,86,82,80,89,35,61.15200758422514,115000,14,"Italian Serie A"
"M. Pjanić","Right",30,178.2766202594503,67,68,87,85,75,71.53999905754652,220000,8,"Spain Primera Division"
"G. Wijnaldum","Right",29,174.8065698754923,76,75,81,86,78,69.45728679808713,150000,5,"English Premier League"
"D. Godín","Right",34,186.63063414120282,57,48,64,61,87,78.35215700337561,135000,2,"Italian Serie A"
"T. Alderweireld","Right",31,185.66248092931335,63,55,72,67,87,80.92610497710827,130000,4,"English Premier League"
"L. Bonucci","Right",33,190.3133137918632,60,58,69,70,87,85.43644348653287,110000,19,"Italian Serie A"
"P. Gulácsi","Right",30,191.36204026785188,,,,,,86.48967835973599,65000,1,"German 1. Bundesliga"
"M. Reus","Right",31,179.56246556995129,80,86,84,85,45,71.08218281328963,94000,11,"German 1. Bundesliga"
"K. Walker","Right",30,182.8686141691458,92,63,76,77,80,69.74624072963586,170000,2,"English Premier League"
"Thiago","Right",29,173.73962954992876,64,72,85,90,70,70.14317019608133,150000,6,"English Premier League"
"Parejo","Right",31,181.53778547808645,50,83,90,81,71,74.08384238923759,59000,5,"Spain Primera Division"
"C. Eriksen","Right",28,180.9286225230811,72,81,88,81,53,75.59989236358969,155000,24,"Italian Serie A"
"Alex Sandro","Left",29,180.24001798469058,81,65,77,80,81,79.94241474085925,120000,12,"Italian Serie A"
"Koke","Right",28,176.02385178681385,67,75,85,81,76,76.53043913123032,92000,6,"Spain Primera Division"
"L. Insigne","Right",29,163.02831018293895,88,78,83,91,36,59.12876416743437,120000,24,"Italian Serie A"
"R. Mahrez","Left",29,179.45274100647498,83,79,81,90,38,66.8456056171159,210000,26,"English Premier League"
"E. Haaland","Left",19,194.0439609442221,84,87,63,76,43,87.80271358707671,56000,9,"German 1. Bundesliga"
"L. Martínez","Right",22,174.02056911749926,83,82,71,85,48,81.1057768255395,130000,10,"Italian Serie A"
