"Age","Fare","survived","gender","SiblingsSpouse","ParentsChildren","GroupSize","FareClass"
22,7.25,false,"M",1,0,2,3
38,71.2833,true,"F",1,0,2,1
26,7.925,true,"F",0,0,1,3
35,53.1,true,"F",1,0,2,1
35,8.05,false,"M",0,0,1,3
28,8.4583,false,"M",0,0,1,3
54,51.8625,false,"M",0,0,1,1
2,21.075,false,"M",3,1,5,3
27,11.1333,true,"F",0,2,3,3
14,30.0708,true,"F",1,0,2,2
4,16.7,true,"F",1,1,3,3
58,26.55,true,"F",0,0,1,1
20,8.05,false,"M",0,0,1,3
39,31.275,false,"M",1,5,7,3
14,7.8542,false,"F",0,0,1,3
55,16,true,"F",0,0,1,2
2,29.125,false,"M",4,1,6,3
28,13,true,"M",0,0,1,2
31,18,false,"F",1,0,2,3
28,7.225,true,"F",0,0,1,3
35,26,false,"M",0,0,1,2
34,13,true,"M",0,0,1,2
15,8.0292,true,"F",0,0,1,3
28,35.5,true,"M",0,0,1,1
8,21.075,false,"F",3,1,5,3
38,31.3875,true,"F",1,5,7,3
28,7.225,false,"M",0,0,1,3
19,263,false,"M",3,2,6,1
28,7.8792,true,"F",0,0,1,3
28,7.8958,false,"M",0,0,1,3
40,27.7208,false,"M",0,0,1,1
28,146.5208,true,"F",1,0,2,1
28,7.75,true,"F",0,0,1,3
66,10.5,false,"M",0,0,1,2
28,82.1708,false,"M",1,0,2,1
42,52,false,"M",1,0,2,1
28,7.2292,true,"M",0,0,1,3
21,8.05,false,"M",0,0,1,3
18,18,false,"F",2,0,3,3
14,11.2417,true,"F",1,0,2,3
40,9.475,false,"F",1,0,2,3
27,21,false,"F",1,0,2,2
28,7.8958,false,"M",0,0,1,3
3,41.5792,true,"F",1,2,4,2
19,7.8792,true,"F",0,0,1,3
28,8.05,false,"M",0,0,1,3
28,15.5,false,"M",1,0,2,3
28,7.75,true,"F",0,0,1,3
28,21.6792,false,"M",2,0,3,3
18,17.8,false,"F",1,0,2,3
7,39.6875,false,"M",4,1,6,3
21,7.8,false,"M",0,0,1,3
49,76.7292,true,"F",1,0,2,1
29,26,true,"F",1,0,2,2
65,61.9792,false,"M",0,1,2,1
28,35.5,true,"M",0,0,1,1
21,10.5,true,"F",0,0,1,2
28.5,7.2292,false,"M",0,0,1,3
5,27.75,true,"F",1,2,4,2
11,46.9,false,"M",5,2,8,3
22,7.2292,false,"M",0,0,1,3
38,80,true,"F",0,0,1,1
45,83.475,false,"M",1,0,2,1
4,27.9,false,"M",3,2,6,3
28,27.7208,false,"M",0,0,1,1
28,15.2458,true,"M",1,1,3,3
29,10.5,true,"F",0,0,1,2
19,8.1583,false,"M",0,0,1,3
17,7.925,true,"F",4,2,7,3
26,8.6625,false,"M",2,0,3,3
32,10.5,false,"M",0,0,1,2
16,46.9,false,"F",5,2,8,3
21,73.5,false,"M",0,0,1,2
26,14.4542,false,"M",1,0,2,3
32,56.4958,true,"M",0,0,1,3
25,7.65,false,"M",0,0,1,3
28,7.8958,false,"M",0,0,1,3
28,8.05,false,"M",0,0,1,3
0.83,29,true,"M",0,2,3,2
30,12.475,true,"F",0,0,1,3
22,9,false,"M",0,0,1,3
29,9.5,true,"M",0,0,1,3
28,7.7875,true,"F",0,0,1,3
28,47.1,false,"M",0,0,1,1
17,10.5,true,"F",0,0,1,2
33,15.85,true,"F",3,0,4,3
16,34.375,false,"M",1,3,5,3
28,8.05,false,"M",0,0,1,3
23,263,true,"F",3,2,6,1
24,8.05,false,"M",0,0,1,3
29,8.05,false,"M",0,0,1,3
20,7.8542,false,"M",0,0,1,3
46,61.175,false,"M",1,0,2,1
26,20.575,false,"M",1,2,4,3
59,7.25,false,"M",0,0,1,3
28,8.05,false,"M",0,0,1,3
71,34.6542,false,"M",0,0,1,1
23,63.3583,true,"M",0,1,2,1
34,23,true,"F",0,1,2,2
34,26,false,"M",1,0,2,2
28,7.8958,false,"F",0,0,1,3
28,7.8958,false,"M",0,0,1,3
21,77.2875,false,"M",0,1,2,1
33,8.6542,false,"M",0,0,1,3
37,7.925,false,"M",2,0,3,3
28,7.8958,false,"M",0,0,1,3
21,7.65,true,"F",0,0,1,3
28,7.775,true,"M",0,0,1,3
38,7.8958,false,"M",0,0,1,3
28,24.15,true,"F",1,0,2,3
47,52,false,"M",0,0,1,1
14.5,14.4542,false,"F",1,0,2,3
22,8.05,false,"M",0,0,1,3
20,9.825,false,"F",1,0,2,3
17,14.4583,false,"F",0,0,1,3
21,7.925,false,"M",0,0,1,3
70.5,7.75,false,"M",0,0,1,3
29,21,false,"M",1,0,2,2
24,247.5208,false,"M",0,1,2,1
2,31.275,false,"F",4,2,7,3
21,73.5,false,"M",2,0,3,2
28,8.05,false,"M",0,0,1,3
32.5,30.0708,false,"M",1,0,2,2
32.5,13,true,"F",0,0,1,2
54,77.2875,false,"M",0,1,2,1
12,11.2417,true,"M",1,0,2,3
28,7.75,false,"M",0,0,1,3
24,7.1417,true,"M",0,0,1,3
28,22.3583,true,"F",1,1,3,3
45,6.975,false,"M",0,0,1,3
33,7.8958,false,"M",0,0,1,3
20,7.05,false,"M",0,0,1,3
47,14.5,false,"F",1,0,2,3
29,26,true,"F",1,0,2,2
25,13,false,"M",0,0,1,2
23,15.0458,false,"M",0,0,1,2
19,26.2833,true,"F",0,2,3,1
37,53.1,false,"M",1,0,2,1
16,9.2167,false,"M",0,0,1,3
24,79.2,false,"M",0,0,1,1
28,15.2458,false,"F",0,2,3,3
22,7.75,true,"F",0,0,1,3
24,15.85,true,"F",1,0,2,3
19,6.75,false,"M",0,0,1,3
18,11.5,false,"M",0,0,1,2
19,36.75,false,"M",1,1,3,2
27,7.7958,true,"M",0,0,1,3
9,34.375,false,"F",2,2,5,3
36.5,26,false,"M",0,2,3,2
42,13,false,"M",0,0,1,2
51,12.525,false,"M",0,0,1,2
22,66.6,true,"F",1,0,2,1
55.5,8.05,false,"M",0,0,1,3
40.5,14.5,false,"M",0,2,3,3
28,7.3125,false,"M",0,0,1,3
51,61.3792,false,"M",0,1,2,1
16,7.7333,true,"F",0,0,1,3
30,8.05,false,"M",0,0,1,3
28,8.6625,false,"M",0,0,1,3
28,69.55,false,"M",8,2,11,3
44,16.1,false,"M",0,1,2,3
40,15.75,true,"F",0,0,1,2
26,7.775,false,"M",0,0,1,3
17,8.6625,false,"M",0,0,1,3
1,39.6875,false,"M",4,1,6,3
9,20.525,true,"M",0,2,3,3
28,55,true,"F",0,1,2,1
45,27.9,false,"F",1,4,6,3
28,25.925,false,"M",0,0,1,1
28,56.4958,false,"M",0,0,1,3
61,33.5,false,"M",0,0,1,1
4,29.125,false,"M",4,1,6,3
1,11.1333,true,"F",1,1,3,3
21,7.925,false,"M",0,0,1,3
56,30.6958,false,"M",0,0,1,1
18,7.8542,false,"M",1,1,3,3
28,25.4667,false,"M",3,1,5,3
50,28.7125,false,"F",0,0,1,1
30,13,false,"M",0,0,1,2
36,0,false,"M",0,0,1,3
28,69.55,false,"F",8,2,11,3
28,15.05,false,"M",0,0,1,2
9,31.3875,false,"M",4,2,7,3
1,39,true,"M",2,1,4,2
4,22.025,true,"F",0,2,3,3
28,50,false,"M",0,0,1,1
28,15.5,true,"F",1,0,2,3
45,26.55,true,"M",0,0,1,1
